Publication Years	Record Count	% of 384,898
2021	20260	5.264
2020	18284	4.750
2022	17259	4.484
2019	16819	4.370
2018	15753	4.093
2017	14321	3.721
2016	14161	3.679
2015	13686	3.556
2013	13356	3.470
2014	12949	3.364
2012	12040	3.128
2011	11351	2.949
2010	10052	2.612
2008	9636	2.504
2009	9621	2.500
2007	8619	2.239
2006	7833	2.035
2005	7719	2.005
2004	7478	1.943
2003	7138	1.855
2001	6801	1.767
2002	6756	1.755
2000	6099	1.585
1999	5956	1.547
1997	5701	1.481
1998	5544	1.440
1995	5407	1.405
1996	4932	1.281
1994	4567	1.187
1993	4546	1.181
1991	3765	0.978
1990	3728	0.969
1992	3605	0.937
1989	3501	0.910
1981	3400	0.883
1984	3361	0.873
1986	3332	0.866
1988	3316	0.862
1987	3182	0.827
1983	3156	0.820
1979	3137	0.815
1985	3047	0.792
1978	3033	0.788
1976	2935	0.763
1982	2901	0.754
1980	2844	0.739
1975	2520	0.655
1977	2504	0.651
1968	2237	0.581
1971	2194	0.570
1974	2160	0.561
1973	2063	0.536
1972	1998	0.519
1967	1973	0.513
1970	1870	0.486
1969	1568	0.407
1966	1012	0.263
1965	672	0.175
1962	611	0.159
1964	434	0.113
1961	336	0.087
1959	325	0.084
1963	280	0.073
1955	278	0.072
1960	275	0.071
1957	273	0.071
1956	268	0.070
1958	252	0.065
1953	233	0.061
1954	231	0.060
1952	203	0.053
1951	178	0.046
2023	148	0.038
1950	124	0.032
1949	122	0.032
1948	113	0.029
1947	86	0.022
1945	75	0.019
1946	71	0.018
1938	54	0.014
1932	47	0.012
1934	37	0.010
1936	36	0.009
1925	33	0.009
1928	24	0.006
1922	23	0.006
1926	20	0.005
1923	17	0.004
1930	17	0.004
1921	15	0.004
1927	1	0.000
