deep learning  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"PM<sub>2.5</sub> Prediction Based on Random Forest, XGBoost, and Deep Learning Using Multisource Remote Sensing Data","Joharestani, Mehdi Zamani; Cao, Chunxiang; Ni, Xiliang; Bashir, Barjeece; Talebiesfandarani, Somayeh","","","","ATMOSPHERE","JUL 2019","2019","10","7","","","","","","373","10.3390/atmos10070373","","","305","50.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","24","55","78","77","69"
"Making the Black Box More Transparent: Understanding the Physical Implications of Machine Learning","McGovern, Amy; Lagerquist, Ryan; Gagne, David John, II; Jergensen, G. Eli; Elmore, Kimberly L.; Homeyer, Cameron R.; Smith, Travis","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","NOV 2019","2019","100","11","","","","2175","2199","","10.1175/BAMS-D-18-0195.1","","","285","47.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","32","51","69","71","54"
"Observations and parameterizations of particle size distributions in deep tropical cirrus and stratiform precipitating clouds: Results from in situ observations in TRMM field campaigns","Heymsfield, AJ; Bansemer, A; Field, PR; Durden, SL; Stith, JL; Dye, JE; Hall, W; Grainger, CA","","","","JOURNAL OF THE ATMOSPHERIC SCIENCES","DEC 2002","2002","59","24","","","","3457","3491","","10.1175/1520-0469(2002)059<3457:OAPOPS>2.0.CO;2","","","261","11.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","14","9","13","11","10","14","11","10","8","15","14","26","11","12","10","10","14","13","12","5"
"Neural Networks for Postprocessing Ensemble Weather Forecasts","Rasp, Stephan; Lerch, Sebastian","","","","MONTHLY WEATHER REVIEW","NOV 2018","2018","146","11","","","","3885","3900","","10.1175/MWR-D-18-0187.1","","","259","37.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","25","61","53","49","54"
"Improving the contribution of climate model information to decision making: the value and demands of robust decision frameworks","Weaver, Christopher P.; Lempert, Robert J.; Brown, Casey; Hall, John A.; Revell, David; Sarewitz, Daniel","","","","WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE","JAN-FEB 2013","2013","4","1","","","","39","60","","10.1002/wcc.202","","","254","21.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","25","19","16","31","20","29","31","29","15","19","15"
"Random forest meteorological normalisation models for Swiss PM<sub>10</sub> trend analysis","Grange, Stuart K.; Carslaw, David C.; Lewis, Alastair C.; Boleti, Eirini; Hueglin, Christoph","","","","ATMOSPHERIC CHEMISTRY AND PHYSICS","MAY 3 2018","2018","18","9","","","","6223","6239","","10.5194/acp-18-6223-2018","","","243","34.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","18","37","60","48","68"
"How can Big Data and machine learning benefit environment and water management: a survey of methods, applications, and future directions","Sun, Alexander Y.; Scanlon, Bridget R.","","","","ENVIRONMENTAL RESEARCH LETTERS","JUL 2019","2019","14","7","","","","","","073001","10.1088/1748-9326/ab1b7d","","","234","39.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","43","57","60","52"
"WeatherBench: A Benchmark Data Set for Data-Driven Weather Forecasting","Rasp, Stephan; Dueben, Peter D.; Scher, Sebastian; Weyn, Jonathan A.; Mouatadid, Soukayna; Thuerey, Nils","","","","JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS","NOV 2020","2020","12","11","","","","","","e2020MS002203","10.1029/2020MS002203","","","200","40.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","33","39","46","68"
"Forest Fire Susceptibility Modeling Using a Convolutional Neural Network for Yunnan Province of China","Zhang, Guoli; Wang, Ming; Liu, Kai","","","","INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE","SEP 2019","2019","10","3","","","","386","403","","10.1007/s13753-019-00233-1","","","180","30.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","26","43","46","48"
"Can Machines Learn to Predict Weather? Using Deep Learning to Predict Gridded 500-hpa Geopotential Height From Historical Weather Data","Weyn, Jonathan A.; Durran, Dale R.; Caruana, Rich","","","","JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS","AUG 2019","2019","11","8","","","","2680","2693","","10.1029/2019MS001705","","","171","28.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","38","36","32","44"
