empirical orthogonal functions  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Changes in the Dominant Mode of Summer Precipitation Over the Central-Eastern Tibetan Plateau Around the Mid-1990s","Shang, Wei; Duan, Keqin; Ren, Xuejuan; Guo, Yuanyuan; Guan, Weina; Li, Shuangshuang","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","DEC 16 2022","2022","127","23","","","","","","e2022JD036617","10.1029/2022JD036617","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"An assessment method of annual climatic status in China using extreme climate indices: 2021 as an example","Guo, Zeng-Yuan; Chen, Li-Juan; Xie, Bing","","","","ADVANCES IN CLIMATE CHANGE RESEARCH","DEC 2022","2022","13","6","","","","868","874","","10.1016/j.accre.2022.11.003","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Marine Heatwaves, Upwelling, and Atmospheric Conditions during the Monsoon Period at the Northern Coast of the Gulf of Guinea","Kone, Mamadou; Djakoure, Sandrine; Adon, Marcellin; Ta, Samuel; Kouadio, Yves","","","","CLIMATE","DEC 2022","2022","10","12","","","","","","199","10.3390/cli10120199","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"The reemergence of the winter sea surface temperature tripole in the North Atlantic from ocean reanalysis data","Sukhonos, Pavel A.; Alexander, Michael A.","","","","CLIMATE DYNAMICS","JUL 2023","2023","61","1-2","","","","449","460","","10.1007/s00382-022-06581-x","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Interannual variability of surface air temperature over indochina peninsula during summer monsoon onset","Zhang, Meiru; Zhou, Zhen-Qiang; Zhang, Renhe; Tan, Yanke; Wen, Min","","","","CLIMATE DYNAMICS","JUN 2023","2023","60","11-12","","","","3543","3560","","10.1007/s00382-022-06470-3","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Assessment of hot weather seasonal temperatures over India using Monsoon Mission Coupled Forecasting System hindcasts","Rohini, P.; Rajeevan, M.; Rao, Suryachandra A.; Pillai, Prasanth A.","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","DEC 30 2022","2022","42","16","","","","9823","9835","","10.1002/joc.7866","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Spatiotemporal Variability of the Southern Second Mode and Its Influence on June Precipitation in Southern China","Huang, Sijing; Qin, Jun; Li, Shuanglin; Yuan, Zhengxuan; Mbululo, Yassin","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","SEP 16 2022","2022","127","17","","","","","","e2022JD036762","10.1029/2022JD036762","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Linear Inverse Modeling of Large-Scale Atmospheric Flow Using Optimal Mode Decomposition","Kwasniok, Frank","","","","JOURNAL OF THE ATMOSPHERIC SCIENCES","SEP 2022","2022","79","9","","","","2181","2204","","10.1175/JAS-D-21-0193.1","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"The mechanism linking the variability of the Antarctic sea ice extent in the Indian Ocean sector to Indian summer monsoon rainfall","Azhar, Siti Syairah Atiqah; Chenoli, Sheeba Nettukandy; Abu Samah, Azizan; Kim, Seong-Joong; Murukesh, Nuncio","","","","CLIMATE DYNAMICS","MAY 2023","2023","60","9-10","","","","2665","2685","","10.1007/s00382-022-06466-z","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Robust and Uncertain Sea-Level Pressure Patterns over Summertime East Asia in the CMIP6 Multi-Model Future Projections","Ose, Tomoaki; Endo, Hirokazu; Takaya, Yuhei; Maeda, Shuhei; Nakaegawa, Toshiyuki","","","","JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN","AUG 2022","2022","100","4","","","","631","645","","10.2151/jmsj.2022-032","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
