linear regression  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Revisiting Forest Effects on Winter Air Temperature and Wind Speed-New Open Data and Transfer Functions","Klein, Michael; Garvelmann, Jakob; Foerster, Kristian","","","","ATMOSPHERE","JUN 2021","2021","12","6","","","","","","710","10.3390/atmos12060710","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2"
"Fifty-six years of surface solar radiation and sunshine duration over Sao Paulo, Brazil: 1961-2016","Yamasoe, Marcia Akemi; Evora Rosario, Nilton Manuel; Santos Martins Almeida, Samantha Novaes; Wild, Martin","","","","ATMOSPHERIC CHEMISTRY AND PHYSICS","MAY 3 2021","2021","21","9","","","","6593","6603","","10.5194/acp-21-6593-2021","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3"
"Annual and Monthly Trends of Cooling and Heating Degree-Days in Four Different Cities in Iraq as an Index of Energy Consumption","Muslih, Khamis Daham","","","","ASIA-PACIFIC JOURNAL OF ATMOSPHERIC SCIENCES","FEB 2022","2022","58","1","","","","33","43","","10.1007/s13143-021-00233-6","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3"
"Regulation of freshwater use to restore ecosystems resilience","Murgatroyd, A.; Hall, J. W.","","","","CLIMATE RISK MANAGEMENT","2021","2021","32","","","","","","","100303","10.1016/j.crm.2021.100303","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1"
"Climatological Teleconnections with Wind Energy in a Midcontinental Region","Coburn, Jacob","","","","JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY","MAR 2021","2021","60","3","","","","305","322","","10.1175/JAMC-D-20-0203.1","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"Laboratory validation of a compact single-scattering albedo (SSA) monitor","de Faria, Julia Perim; Bundke, Ulrich; Freedman, Andrew; Onasch, Timothy B.; Petzold, Andreas","","","","ATMOSPHERIC MEASUREMENT TECHNIQUES","MAR 1 2021","2021","14","2","","","","1635","1653","","10.5194/amt-14-1635-2021","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1"
"Observed response of marine boundary layer cloud to the interannual variations of summertime Oyashio extension SST front","Takahashi, Naoya; Hayasaka, Tadahiro; Qiu, Bo; Yamaguchi, Ryohei","","","","CLIMATE DYNAMICS","JUN 2021","2021","56","11-12","","","","3511","3526","","10.1007/s00382-021-05649-4","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3"
"Exploratory analysis of carbonaceous PM<sub>2.5</sub> species in urban environments: Relationship with meteorological variables and satellite data","Amarillo, Ana; Carreras, Hebe; Krisna, Trismono; Mignola, Marcos; Tavera Busso, Ivan; Wendisch, Manfred","","","","ATMOSPHERIC ENVIRONMENT","JAN 15 2021","2021","245","","","","","","","117987","10.1016/j.atmosenv.2020.117987","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1"
"The response of mesospheric H<sub>2</sub>O and CO to solar irradiance variability in models and observations","Karagodin-Doyennel, Arseniy; Rozanov, Eugene; Kuchar, Ales; Ball, William; Arsenovic, Pavle; Remsberg, Ellis; Joeckel, Patrick; Kunze, Markus; Plummer, David A.; Stenke, Andrea; Marsh, Daniel; Kinnison, Doug; Peter, Thomas","","","","ATMOSPHERIC CHEMISTRY AND PHYSICS","JAN 11 2021","2021","21","1","","","","201","216","","10.5194/acp-21-201-2021","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0"
"A Hybrid Differential-Ensemble Linear Forecast Model for 4D-Var","Payne, T. J.","","","","MONTHLY WEATHER REVIEW","JAN 2021","2021","149","1","","","","3","19","","10.1175/MWR-D-20-0088.1","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0"
