neural network  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Generalization properties of feed-forward neural networks trained on Lorenz systems","Scher, Sebastian; Messori, Gabriele","","","","NONLINEAR PROCESSES IN GEOPHYSICS","NOV 5 2019","2019","26","4","","","","381","399","","10.5194/npg-26-381-2019","","","27","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","4","8","3"
"Classification of hyperspectral imagery with a 3D convolutional neural network and J-M distance","Wang, Chunxing; Ma, Nan; Ming, Yanfang; Wang, Quan; Xia, Jinfeng","","","","ADVANCES IN SPACE RESEARCH","AUG 15 2019","2019","64","4","","","","886","899","","10.1016/j.asr.2019.05.005","","","27","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","5","4","6"
"Assessment of seven CMIP5 model precipitation extremes over Iran based on a satellite-based climate data set","Katiraie-Boroujerdy, Pari-Sima; Asanjan, Ata Akbari; Chavoshian, Ali; Hsu, Kuo-lin; Sorooshian, Soroosh","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","JUN 30 2019","2019","39","8","","","","3505","3522","","10.1002/joc.6035","","","27","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","9","2","5","3"
"Fuzzy neural network and LLE Algorithm for forecasting precipitation in tropical cyclones: comparisons with interpolation method by ECMWF and stepwise regression method","Huang, Ying; Jin, Long; Zhao, Hua-sheng; Huang, Xiao-yan","","","","NATURAL HAZARDS","MAR 2018","2018","91","1","","","","201","220","","10.1007/s11069-017-3122-x","","","27","3.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","8","5","6","5","1"
"Performance comparison of three predictor selection methods for statistical downscaling of daily precipitation","Yang, Chunli; Wang, Ninglian; Wang, Shijin; Zhou, Liang","","","","THEORETICAL AND APPLIED CLIMATOLOGY","JAN 2018","2018","131","1-2","","","","43","54","","10.1007/s00704-016-1956-x","","","27","3.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","4","2","6","8"
"Performance of the Angstrom-Prescott Model (A-P) and SVM and ANN techniques to estimate daily global solar irradiation in Botucatu/SP/Brazil","Prado da Silva, Mauricio Bruno; Escobedo, Joao Francisco; Rossi, Taiza Juliana; dos Santos, Cicero Manoel; Modenese Gorla da Silva, Silvia Helena","","","","JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS","JUL 2017","2017","160","","","","","11","23","","10.1016/j.jastp.2017.04.001","","","27","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","6","5","3","4"
"An investigation on generalization ability of artificial neural networks and M5 model tree in modeling reference evapotranspiration","Kisi, Ozgur; Kilic, Yasin","","","","THEORETICAL AND APPLIED CLIMATOLOGY","NOV 2016","2016","126","3-4","","","","413","425","","10.1007/s00704-015-1582-z","","","27","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","3","6","5","3","4","0"
"Selection of meteorological parameters affecting rainfall estimation using neuro-fuzzy computing methodology","Hashim, Roslan; Roy, Chandrabhushan; Motamedi, Shervin; Shamshirband, Shahaboddin; Petkovic, Dalibor; Gocic, Milan; Lee, Siew Cheng","","","","ATMOSPHERIC RESEARCH","MAY 1 2016","2016","171","","","","","21","30","","10.1016/j.atmosres.2015.12.002","","","27","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","6","4","7","2","1"
"Assessing the accuracy of multiple regressions, ANFIS, and ANN models in predicting dust storm occurrences in Sanandaj, Iran","Kaboodvandpour, Shahram; Amanollahi, Jamil; Qhavami, Samira; Mohammadi, Bakhtiyar","","","","NATURAL HAZARDS","SEP 2015","2015","78","2","","","","879","893","","10.1007/s11069-015-1748-0","","","27","2.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","4","6","2","2","4","1"
"An artificial neural network model to predict thunderstorms within 400 km<SUP>2</SUP> South Texas domains","Collins, Waylon; Tissot, Philippe","","","","METEOROLOGICAL APPLICATIONS","JUL 2015","2015","22","3","","","","650","665","","10.1002/met.1499","","","27","2.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","3","7","4","5","1"
"Validation of remote-sensing precipitation products for Angola","Pombo, Sandra; de Oliveira, Rodrigo Proenca; Mendes, Andre","","","","METEOROLOGICAL APPLICATIONS","JUL 2015","2015","22","3","","","","395","409","","10.1002/met.1467","","","27","2.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","3","5","2","5","2","1","1"
