support vector machines  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Spatial prediction models for landslide hazards: review, comparison and evaluation","Brenning, A","","","","NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","2005","2005","5","6","","","","853","862","","10.5194/nhess-5-853-2005","","","476","23.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","9","7","14","21","23","16","25","25","34","38","25","49","38","34","46","33","32"
"Assessment of the effects of training data selection on the landslide susceptibility mapping: a comparison between support vector machine (SVM), logistic regression (LR) and artificial neural networks (ANN)","Kalantar, Bahareh; Pradhan, Biswajeet; Naghibi, Seyed Amir; Motevalli, Alireza; Mansor, Shattri","","","","GEOMATICS NATURAL HAZARDS & RISK","2018","2018","9","1","","","","49","69","","10.1080/19475705.2017.1407368","","","359","51.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","33","57","69","71","60","54"
"Evaluation of SVM, ELM and four tree-based ensemble models for predicting daily reference evapotranspiration using limited meteorological data in different climates of China","Fan, Junliang; Yue, Wenjun; Wu, Lifeng; Zhang, Fucang; Cai, Huanjie; Wang, Xiukang; Lu, Xianghui; Xiang, Youzhen","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 15 2018","2018","263","","","","","225","241","","10.1016/j.agrformet.2018.08.019","","","341","48.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","23","45","72","72","81","46"
"Integrating satellite and climate data to predict wheat yield in Australia using machine learning approaches","Cai, Yaping; Guan, Kaiyu; Lobell, David; Potgieter, Andries B.; Wang, Shaowen; Peng, Jian; Xu, Tianfang; Asseng, Senthold; Zhang, Yongguang; You, Liangzhi; Peng, Bin","","","","AGRICULTURAL AND FOREST METEOROLOGY","AUG 15 2019","2019","274","","","","","144","159","","10.1016/j.agrformet.2019.03.010","","","336","56.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","80","79","75","66"
"Ensemble machine-learning-based geospatial approach for flood risk assessment using multi-sensor remote-sensing data and GIS","Mojaddadi, Hossein; Pradhan, Biswajeet; Nampak, Haleh; Ahmad, Noordin; bin Ghazali, Abdul Halim","","","","GEOMATICS NATURAL HAZARDS & RISK","2017","2017","8","2","","","","1080","1102","","10.1080/19475705.2017.1294113","","","279","34.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","15","32","38","45","45","55","46"
"A hybrid artificial intelligence approach using GIS-based neural-fuzzy inference system and particle swarm optimization for forest fire susceptibility modeling at a tropical area","Dieu Tien Bui; Quang-Thanh Bui; Quoc-Phi Nguyen; Pradhan, Biswajeet; Nampak, Haleh; Phan Trong Trinh","","","","AGRICULTURAL AND FOREST METEOROLOGY","FEB 15 2017","2017","233","","","","","32","44","","10.1016/j.agrformet.2016.11.002","","","273","34.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","23","38","33","37","55","46","34"
"Landslide susceptibility assesssment in the Uttarakhand area (India) using GIS: a comparison study of prediction capability of na⟨ve bayes, multilayer perceptron neural networks, and functional trees methods","Binh Thai Pham; Dieu Tien Bui; Pourghasemi, Hamid Reza; Indra, Prakash; Dholakia, M. B.","","","","THEORETICAL AND APPLIED CLIMATOLOGY","APR 2017","2017","128","1-2","","","","255","273","","10.1007/s00704-015-1702-9","","","262","32.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","27","50","46","32","38","23","30"
"Selection of classification techniques for land use/land cover change investigation","Srivastava, Prashant K.; Han, Dawei; Rico-Ramirez, Miguel A.; Bray, Michaela; Islam, Tanvir","","","","ADVANCES IN SPACE RESEARCH","NOV 1 2012","2012","50","9","","","","1250","1265","","10.1016/j.asr.2012.06.032","","","258","19.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","18","21","21","14","21","22","34","29","26","17","22"
"Drought forecasting in eastern Australia using multivariate adaptive regression spline, least square support vector machine and M5Tree model","Deo, Ravinesh C.; Kisi, Ozgur; Singh, Vijay P.","","","","ATMOSPHERIC RESEARCH","FEB 1 2017","2017","184","","","","","149","175","","10.1016/j.atmosres.2016.10.004","","","235","29.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","30","30","38","48","40","15","20"
"ANFIS, SVM and ANN soft-computing techniques to estimate daily global solar radiation in a warm sub-humid environment","Quej, Victor H.; Almorox, Javier; Arnaldo, Javier A.; Saito, Laurel","","","","JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS","MAR 2017","2017","155","","","","","62","70","","10.1016/j.jastp.2017.02.002","","","204","25.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","20","32","20","43","39","25","23"
