Publication Years         	Record Count	% of 476,945

2025                                 367	     0.077
2024                               19427	     4.073
2023                               19789	     4.149
2022                               19737	     4.138
2021                               20812	     4.364
2020                               19430	     4.074
2019                               17613	     3.693
2018                               16232	     3.403
2017                               15824	     3.318
2016                               16384	     3.435
2015                               14954	     3.135
2014                               14259	     2.990
2013                               14284	     2.995
2012                               13038	     2.734
2011                               12216	     2.561
2010                               11276	     2.364
2009                               11032	     2.313
2008                               10446	     2.190
2007                                9774	     2.049
2006                                9007	     1.888
2005                                8522	     1.787
2004                                8450	     1.772
2003                                9047	     1.897
2002                                8821	     1.849
2001                                8531	     1.789
2000                                9018	     1.891
1999                                6698	     1.404
1998                                8468	     1.775
1997                                7835	     1.643
1996                                7058	     1.480
1995                                7715	     1.618
1994                                7049	     1.478
1993                                6597	     1.383
1992                                5440	     1.141
1991                                5310	     1.113
1990                                5096	     1.068
1989                                5497	     1.153
1988                                3638	     0.763
1987                                3245	     0.680
1986                                3332	     0.699
1985                                3047	     0.639
1984                                3361	     0.705
1983                                3156	     0.662
1982                                2901	     0.608
1981                                3400	     0.713
1980                                2844	     0.596
1979                                3137	     0.658
1978                                3033	     0.636
1977                                2504	     0.525
1976                                2935	     0.615
1975                                2520	     0.528
1974                                2160	     0.453
1973                                2063	     0.433
1972                                1998	     0.419
1971                                2194	     0.460
1970                                1870	     0.392
1969                                1568	     0.329
1968                                2237	     0.469
1967                                1973	     0.414
1966                                1012	     0.212
1965                                 672	     0.141
1964                                 434	     0.091
1963                                 280	     0.059
1962                                 611	     0.128
1961                                 336	     0.070
1960                                 275	     0.058
1959                                 325	     0.068
1958                                 252	     0.053
1957                                 273	     0.057
1956                                 268	     0.056
1955                                 278	     0.058
1954                                 231	     0.048
1953                                 233	     0.049
1952                                 203	     0.043
1951                                 178	     0.037
1950                                 124	     0.026
1949                                 122	     0.026
1948                                 113	     0.024
1947                                  86	     0.018
1946                                  71	     0.015
1945                                  75	     0.016
1938                                  54	     0.011
1936                                  36	     0.008
1934                                  37	     0.008
1932                                  47	     0.010
1930                                  17	     0.004
1928                                  24	     0.005
1927                                   1	     0.000
1926                                  20	     0.004
1925                                  33	     0.007
1923                                  17	     0.004
1922                                  23	     0.005
1921                                  15	     0.003
