hail  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"A method for estimating crop losses from hail in uninsured periods and regions","Changnon, D; Changnon, SA; Changnon, SS","","","","JOURNAL OF APPLIED METEOROLOGY","2001","2001","40","1","","","","84","91","","10.1175/1520-0450(2001)040<0084:AMFECL>2.0.CO;2","","","6","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","0"
"Severe convective storms and associated phenomena in Hungary","Horváth, A; Geresdi, I","","","","ATMOSPHERIC RESEARCH","JAN 2001","2001","56","1-4","","","","127","146","","10.1016/S0169-8095(00)00094-6","Conference on European Tornadoes and Severe Storms","FEB 01-04, 2000","6","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"Detection of hail by means of polarimetric radar data and hailpads: results from four storms","Nanni, S; Mezzasalma, P; Alberoni, PP","","","","METEOROLOGICAL APPLICATIONS","JUN 2000","2000","7","2","","","","121","128","","10.1017/S135048270000147X","","","6","0.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"UNCERTAINTY IN VERTICALLY INTEGRATED LIQUID WATER-CONTENT DUE TO RADAR REFLECTIVITY OBSERVATION ERROR","FRENCH, MN; ANDRIEU, H; KRAJEWSKI, WF","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","APR 1995","1995","12","2","","","","404","409","","10.1175/1520-0426(1995)012<0404:UIVILW>2.0.CO;2","","","6","0.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"Some results of aircraft investigation of internal properties of thunderstorm cloud systems in northeastern Italy with an interpretation for hail prevention","Morgan, Griffith","","","","ATMOSPHERIC RESEARCH","DEC 1992","1992","28","3-4","","","SI","259","269","","10.1016/0169-8095(92)90012-Y","","","6","0.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"MOUNTAIN INFLUENCE ON THE AREAL CHARACTERISTICS OF TYPES OF CONVECTIVE PRECIPITATION","CURIC, M; JANC, D","","","","THEORETICAL AND APPLIED CLIMATOLOGY","1992","1992","45","1","","","","71","76","","10.1007/BF00865997","","","6","0.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"A SYSTEMATIC HAILPAD CALIBRATION PROCEDURE FOR OPERATIONAL HAIL SUPPRESSION IN GREECE","DALEZIOS, NR; SIOUTAS, MV; KARACOSTAS, TS","","","","METEOROLOGY AND ATMOSPHERIC PHYSICS","1991","1991","45","1-2","","","","101","111","","10.1007/BF01027478","","","6","0.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"A Radar-Based Hail Climatology of Australia","Brook, Jordan P.; Soderholm, Joshua S.; Protat, Alain; Mcgowan, Hamish; Warren, Robert A.","","","","MONTHLY WEATHER REVIEW","FEB 2024","2024","152","2","","","","607","628","","10.1175/MWR-D-23-0130.1","","","5","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"The sharing economy is not always greener: a review and consolidation of empirical evidence","Meshulam, Tamar; Goldberg, Sarah; Ivanova, Diana; Makov, Tamar","","","","ENVIRONMENTAL RESEARCH LETTERS","JAN 1 2024","2024","19","1","","","","","","013004","10.1088/1748-9326/ad0f00","","","5","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Impact of the SST and topography on the development of a large-hail storm event, on the Adriatic Sea","Ricchi, Antonio; Sangelantoni, Lorenzo; Redaelli, Gianluca; Mazzarella, Vincenzo; Montopoli, Mario; Miglietta, Mario Marcello; Tiesi, Alessandro; Mazza, Simone; Rotunno, Richard; Ferretti, Rossella","","","","ATMOSPHERIC RESEARCH","DEC 2023","2023","296","","","","","","","107078","10.1016/j.atmosres.2023.107078","","","5","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
