tropical cyclone  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan:1900-2023. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"The JRA-55 Reanalysis: General Specifications and Basic Characteristics","Kobayashi, Shinya; Ota, Yukinari; Harada, Yayoi; Ebita, Ayataka; Moriya, Masami; Onoda, Hirokatsu; Onogi, Kazutoshi; Kamahori, Hirotaka; Kobayashi, Chiaki; Endo, Hirokazu; Miyaoka, Kengo; Takahashi, Kiyotoshi","","","","JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN","2015","2015","93","1","","","","5","48","","10.2151/jmsj.2015-001","","","2537","281.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","162","254","270","405","458","514","426","2"
"Pacific-East Asian teleconnection: how does ENSO affect East Asian climate?","Wang, B; Wu, RG; Fu, XH","","","","JOURNAL OF CLIMATE","MAY 1 2000","2000","13","9","","","","1517","1536","","10.1175/1520-0442(2000)013<1517:PEATHD>2.0.CO;2","","","2107","87.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","16","27","30","32","24","29","39","58","63","59","81","102","101","120","131","146","178","229","211","221","194","0"
"Changes in precipitation with climate change","Trenberth, Kevin E.","","","","CLIMATE RESEARCH","2011","2011","47","1-2","","","","123","138","","10.3354/cr00953","","","1827","140.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","29","60","70","101","126","155","194","258","263","307","253","4"
"The JRA-25 reanalysis","Onogi, Kazutoshi; Tslttsui, Junichi; Koide, Hiroshi; Sakamoto, Masami; Kobayashi, Shinya; Hatsushika, Hiroaki; Matsumoto, Takanori; Yamazaki, Nobuo; Kaalhori, Hirotaka; Takahashi, Kiyotoshi; Kadokura, Shinji; Wada, Koji; Kato, Koji; Oyama, Ryo; Ose, Tomoaki; Mannoji, Nobutaka; Taira, Ryusuke","","","","JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN","JUN 2007","2007","85","3","","","","369","432","","10.2151/jmsj.85.369","","","1300","76.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","38","60","88","124","158","128","142","115","103","90","63","74","44","45","26","0"
"THE INTERNATIONAL BEST TRACK ARCHIVE FOR CLIMATE STEWARDSHIP (IBTrACS) Unifying Tropical Cyclone Data","Knapp, Kenneth R.; Kruk, Michael C.; Levinson, David H.; Diamond, Howard J.; Neumann, Charles J.","","","","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","MAR 2010","2010","91","3","","","","363","+","","10.1175/2009BAMS2755.1","","","1294","92.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","22","48","51","63","71","81","98","111","152","167","223","197","3"
"The East Asian summer monsoon: an overview","Ding, YH; Chan, JCL","","","","METEOROLOGY AND ATMOSPHERIC PHYSICS","JUL 2005","2005","89","1-4","","","","117","142","","10.1007/s00703-005-0125-z","","","1273","67.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","18","20","22","22","36","62","61","76","87","92","123","144","165","177","155","0"
"Increasing frequency of extreme El Nino events due to greenhouse warming","Cai, Wenju; Borlace, Simon; Lengaigne, Matthieu; van Rensch, Peter; Collins, Mat; Vecchi, Gabriel; Timmermann, Axel; Santoso, Agus; McPhaden, Michael J.; Wu, Lixin; England, Matthew H.; Wang, Guojian; Guilyardi, Eric; Jin, Fei-Fei","","","","NATURE CLIMATE CHANGE","FEB 2014","2014","4","2","","","","111","116","","10.1038/NCLIMATE2100","","","1245","124.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","85","101","147","180","210","177","208","113","0"
"Global Warming Pattern Formation: Sea Surface Temperature and Rainfall","Xie, Shang-Ping; Deser, Clara; Vecchi, Gabriel A.; Ma, Jian; Teng, Haiyan; Wittenberg, Andrew T.","","","","JOURNAL OF CLIMATE","FEB 2010","2010","23","4","","","","966","986","","10.1175/2009JCLI3329.1","","","757","54.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","36","50","50","58","61","62","77","66","74","68","83","60","1"
"The new GFDL global atmosphere and land model AM2-LM2: Evaluation with prescribed SST simulations","Anderson, JL; Balaji, V; Broccoli, AJ; Cooke, WF; Delworth, TL; Dixon, KW; Donner, LJ; Dunne, KA; Freidenreich, SM; Garner, ST; Gudgel, RG; Gordon, CT; Held, IM; Hemler, RS; Horowitz, LW; Klein, SA; Knutson, TR; Kushner, PJ; Langenhost, AR; Lau, NC; Liang, Z; Malyshev, SL; Milly, PCD; Nath, MJ; Ploshay, JJ; Ramaswamy, V; Schwarzkopf, MD; Shevliakova, E; Sirutis, JJ; Soden, BJ; Stern, WF; Thompson, LA; Wilson, RJ; Wittenberg, AT; Wyman, BL","GFDL Global Atmospheric Model Dev","","","JOURNAL OF CLIMATE","DEC 2004","2004","17","24","","","","4641","4673","","","","","699","34.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","47","42","42","37","43","40","46","47","55","40","35","34","45","43","34","24","27","0"
"RAMS 2001: Current status and future directions","Cotton, WR; Pielke, RA; Walko, RL; Liston, GE; Tremback, CJ; Jiang, H; McAnelly, RL; Harrington, JY; Nicholls, ME; Carrio, GG; McFadden, JP","","","","METEOROLOGY AND ATMOSPHERIC PHYSICS","2003","2003","82","1-4","","","","5","29","","10.1007/s00703-001-0584-9","4th SRNWP Workshop on Nonhydrostatic Modelling","SEP, 2001","693","33.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","23","36","37","42","46","38","47","50","36","40","59","39","32","42","39","23","25","19","16","0"
