tornado  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Tornado loss model of Oklahoma and Kansas, United States, based on the historical tornado data and Monte Carlo simulation","Refan, Maryam; Romanic, Djordje; Parvu, Dan; Michel, Gero","","","","INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","FEB 2020","2020","43","","","","","","","101369","10.1016/j.ijdrr.2019.101369","","","11","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","3"
"The Relationship between Overshooting Tops in a Tornadic Supercell and Its Radar-Observed Evolution","Bluestein, Howard B.; Lindsey, Daniel T.; Bikos, Daniel; Reif, Dylan W.; Wienhoff, Zachary B.","","","","MONTHLY WEATHER REVIEW","NOV 2019","2019","147","11","","","","4151","4176","","10.1175/MWR-D-19-0159.1","","","11","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","0","1"
"Doppler Radar Observations of Horizontal Shearing Instability in Quasi-Linear Convective Systems","Conrad, Dustin M.; Knupp, Kevin R.","","","","MONTHLY WEATHER REVIEW","APR 2019","2019","147","4","","","","1297","1318","","10.1175/MWR-D-18-0257.1","","","11","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","1","3"
"Extreme Weather Impacts on Inland Waterways Transport of Yangtze River","Liu, Lijun; Wen, Yuanqiao; Liang, Youjia; Zhang, Fan; Yang, Tiantian","","","","ATMOSPHERE","MAR 12 2019","2019","10","3","","","","","","133","10.3390/atmos10030133","","","11","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","2","1"
"A long-lived tornado on 7 December 2010 in mainland Portugal","Belo-Pereira, Margarida; Andrade, Cristina; Pinto, Paulo","","","","ATMOSPHERIC RESEARCH","MAR 1 2017","2017","185","","","","","202","215","","10.1016/j.atmosres.2016.11.002","","","11","1.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","0","1","3","1"
"The Statistical Severe Convective Risk Assessment Model","Hart, John A.; Cohen, Ariel E.","","","","WEATHER AND FORECASTING","OCT 2016","2016","31","5","","","","1697","1714","","10.1175/WAF-D-16-0004.1","","","11","1.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","5","0","1","0","1"
"An isolated tornadic supercell of 14 July 2012 in Poland - A prediction technique within the use of coarse-grid WRF simulation","Taszarek, Mateusz; Czernecki, Bartosz; Walczakiewicz, Szymon; Mazur, Andrzej; Kolendowicz, Leszek","","","","ATMOSPHERIC RESEARCH","SEP 1 2016","2016","178","","","","","367","379","","10.1016/j.atmosres.2016.04.009","","","11","1.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","2","2","0","0","1"
"Lidar-Based Methodology to Evaluate Fragility Models for Tornado-Induced Roof Damage","Kashani, Alireza G.; Graettinger, Andrew J.; Dao, Thang","","","","NATURAL HAZARDS REVIEW","AUG 2016","2016","17","3","","","","","","UNSP 04016006","10.1061/(ASCE)NH.1527-6996.0000224","","","11","1.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","2","1","2","0"
"Building Damage, Wind Speed Estimation, and Post Disaster Recovery in an EF5 Tornado","Kikitsu, Hitomitsu; Sarkar, Partha P.","","","","NATURAL HAZARDS REVIEW","MAY 2015","2015","16","2","","","","","","04014019","10.1061/(ASCE)NH.1527-6996.0000156","","","11","1.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","1","2","0","0","3"
"Observations of the 9 June 2009 Dissipating Supercell from VORTEX2","Davenport, Casey E.; Parker, Matthew D.","","","","WEATHER AND FORECASTING","APR 2015","2015","30","2","","","","368","388","","10.1175/WAF-D-14-00087.1","","","11","1.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","1","2","1","0","1","0"
"Novel Tornado Detection Using an Adaptive Neuro-Fuzzy System with S-Band Polarimetric Weather Radar","Wang, Yadong; Yu, Tian-You","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","FEB 2015","2015","32","2","","","","195","208","","10.1175/JTECH-D-14-00096.1","","","11","1.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","2","0","0","2","1","1"
"Wind Field of a Nonmesocyclone Anticyclonic Tornado Crossing the Hong Kong International Airport","Kosiba, Karen A.; Robinson, Paul; Chan, P. W.; Wurman, Joshua","","","","ADVANCES IN METEOROLOGY","2014","2014","2014","","","","","","","597378","10.1155/2014/597378","","","11","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","0","1","3","1","1","0","0"
"On space-time distribution of tornado events in Bulgaria (1956-2010) with brief analyses of two cases","Simeonov, Petio; Bocheva, Lilia; Gospodinov, Ilian","","","","ATMOSPHERIC RESEARCH","APR 1 2013","2013","123","","","","SI","61","70","","10.1016/j.atmosres.2012.07.003","","","11","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","2","1","1","1","0","0","0"
"Memory and Decision Making: Determining Action when the Sirens Sound","Drost, Robert","","","","WEATHER CLIMATE AND SOCIETY","JAN 2013","2013","5","1","","","","43","54","","10.1175/WCAS-D-11-00042.1","","","11","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","2","1","0","0","1","1","1","0"
"Potential vorticity diagnosis of the severe convective regime. Part IV: Comparison with modeling simulations of the Moore tornado outbreak","Gold, David A.; Nielsen-Gammon, John W.","","","","MONTHLY WEATHER REVIEW","MAY 2008","2008","136","5","","","","1612","1629","","10.1175/2007MWR2093.1","","","11","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","1","0","1","0","1","1","1","0","0","1","0","0"
"Tornado shelters and the manufactured home parks market","Simmons, Kevin M.; Sutter, Daniel","","","","NATURAL HAZARDS","DEC 2007","2007","43","3","","","","365","378","","10.1007/s11069-007-9123-4","","","11","0.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","1","0","0","0","1","2","0","1","0","1","1"
"Variational analysis of oversampled dual-doppler radial velocity data and application to the analysis of tornado circulations","Xue, Ming; Liu, Shun; Yu, Tian-You","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","MAR 2007","2007","24","3","","","","403","414","","10.1175/JTECH1988.1","","","11","0.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","0","2","0","0","2","0","0","1","0","0","0","0","0","0"
"The 1886 tornado of Madrid","Gaya, Miquel","","","","ATMOSPHERIC RESEARCH","FEB 2007","2007","83","2-4","","","","201","210","","10.1016/j.atmosres.2005.10.017","European Conference on Severe Storms (ECSS 2004)","NOV, 2004","11","0.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1","1","3","2","0","0","0"
"A systematic approach to synoptic tornado climatology of Hungary for the recent years (1996-2001) based on official damage reports","Szilard, Sarkozi","","","","ATMOSPHERIC RESEARCH","FEB 2007","2007","83","2-4","","","","263","271","","10.1016/j.atmosres.2005.10.025","European Conference on Severe Storms (ECSS 2004)","NOV, 2004","11","0.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","4","1","0","0","0","0","0","1","1","0"
"Tornadoes with cold core 500-mb lows","Davies, Jonathan M.","","","","WEATHER AND FORECASTING","DEC 2006","2006","21","6","","","","1051","1062","","10.1175/WAF967.1","","","11","0.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","2","0","0","3","0","1","0"
"Developing tools for nowcasting storm severity","Roberts, Rita D.; Burgess, Donald; Meister, Matthew","","","","WEATHER AND FORECASTING","AUG 2006","2006","21","4","","","","540","558","","10.1175/WAF930.1","","","11","0.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","0","3","0","1","1","0","2","0"
